1768.HK,BRACELL,Forestry & Paper
2314.HK,LEE & MAN PAPER,Forestry & Paper
2689.HK,NINE DRAGONS PAP,Forestry & Paper
1129.HK,CHINA WATER INDU,"Gas, Water & Multiutilities"
855.HK,CHINA WATER AFFA,"Gas, Water & Multiutilities"
3633.HK,ZHONGYU GAS HOLD,"Gas, Water & Multiutilities"
1600.HK,TIAN LUN GAS,"Gas, Water & Multiutilities"
882.HK,TIANJIN DEV HLDG,"Gas, Water & Multiutilities"
1083.HK,TOWNGAS CHINA,"Gas, Water & Multiutilities"
371.HK,BJ ENT WATER,"Gas, Water & Multiutilities"
2688.HK,ENN ENERGY,"Gas, Water & Multiutilities"
1193.HK,CHINA RES GAS,"Gas, Water & Multiutilities"
270.HK,GUANGDONG INVEST,"Gas, Water & Multiutilities"
3.HK,HONG KG CHINA GS,"Gas, Water & Multiutilities"
403.HK,STARLITE HLDGS,General Industrials
1106.HK,SINO HAIJING HOL,General Industrials
3363.HK,ZHENGYE INTL HLD,General Industrials
3816.HK,KFM KINGDOM HOLD,General Industrials
1439.HK,CHINA PACKAGING,General Industrials
252.HK,SOUTHEAST ASIA P,General Industrials
1689.HK,HUAXI HOLDINGS C,General Industrials
6898.HK,CHINA ALUMINUM C,General Industrials
1203.HK,GUANGNAN HLDGS,General Industrials
474.HK,HAO TIAN DEV,General Industrials
1222.HK,WANG ON GRP LTD,General Industrials
413.HK,SOUTH CHINA CHIN,General Industrials
1239.HK,JIN BAO BAO HOLD,General Industrials
3366.HK,OVERSEAS CHINESE,General Industrials
1335.HK,SHEEN TAI HOLDIN,General Industrials
716.HK,SINGAMAS CONTAIN,General Industrials
2300.HK,AMVIG HOLDINGS,General Industrials
906.HK,CPMC HOLDINGS,General Industrials
468.HK,GREATVIEW ASEPTI,General Industrials
363.HK,SHANG INDUS HLDG,General Industrials
392.HK,BEIJING ENT,General Industrials
19.HK,SWIRE PACIFIC-A,General Industrials
267.HK,CITIC,General Industrials
13.HK,HUTCHISON,General Industrials
1360.HK,MEGA EXPO HOLDIN,General Retailers
459.HK,MIDLAND IC&I,General Retailers
2288.HK,RYKADAN CAPITAL,General Retailers
919.HK,MODERN BEAUTY,General Retailers
398.HK,ORIENTAL WATCH,General Retailers
1161.HK,WATER OASIS,General Retailers
647.HK,JOYCE BOUTIQUE,General Retailers
128.HK,ENM HOLDINGS LTD,General Retailers
312.HK,SHIRBLE DEPARTME,General Retailers
592.HK,BOSSINI INTL,General Retailers
